breed,description,temperament_values,temperament,height,weight,expectancy,group,grooming_frequency_value,grooming_frequency_category,shedding_value,shedding_category,energy_level_value,energy_level_category,trainability_value,trainability_category,demeanor_value,demeanor_category
boxer,"a well-made boxer in peak condition is an awesome sight. a male can stand as high as 25 inches at the shoulder; females run smaller. their muscles ripple beneath a short, tight-fitting coat. the dark brown eyes and wrinkled forehead give the face an alert, curious look. the coat can be fawn or brindle, with white markings. boxers move like the athletes they are named for: smooth and graceful, with a powerful forward thrust.boxers are upbeat and playful. their patience and protective nature have earned them a reputation as a great dog with children. they take the jobs of watchdog and family guardian seriously and will meet threats fearlessly. boxers do best when exposed to a lot of people and other animals in early puppyhood. loyalty, affection, intelligence, work ethic, and good looks: boxers are the whole doggy package. bright and alert, sometimes silly, but always courageous, the boxer has been among america’s most popular dog breeds for a very long time.",5,lively,55.91694835,27.22591064,10.14436187,Working Group,0.4,weekly,0.4,occasional,0.8,energetic,0.8,easy training,1,outgoing
boxer,"a well-made boxer in peak condition is an awesome sight. a male can stand as high as 25 inches at the shoulder; females run smaller. their muscles ripple beneath a short, tight-fitting coat. the dark brown eyes and wrinkled forehead give the face an alert, curious look. the coat can be fawn or brindle, with white markings. boxers move like the athletes they are named for: smooth and graceful, with a powerful forward thrust.boxers are upbeat and playful. their patience and protective nature have earned them a reputation as a great dog with children. they take the jobs of watchdog and family guardian seriously and will meet threats fearlessly. boxers do best when exposed to a lot of people and other animals in early puppyhood. loyalty, affection, intelligence, work ethic, and good looks: boxers are the whole doggy package. bright and alert, sometimes silly, but always courageous, the boxer has been among america’s most popular dog breeds for a very long time.",5,lively,53.66883651,20.81143367,11.8009597,Working Group,0.4,weekly,0.4,occasional,0.8,energetic,0.8,easy training,1,outgoing
bulldog,"you can’t mistake a bulldog for any other breed. the loose skin of the head, furrowed brow, pushed-in nose, small ears, undershot jaw with hanging chops on either side, and the distinctive rolling gait all practically scream “i’m a bulldog!” the coat, seen in a variety of colors and patterns, is short, smooth, and glossy. bulldogs can weigh up to 50 pounds, but that won’t stop them from curling up in your lap, or at least trying to. but don’t mistake their easygoing ways for laziness—bulldogs enjoy brisk walks and need regular moderate exercise, along with a careful diet, to stay trim. summer afternoons are best spent in an air-conditioned room as a bulldog’s short snout can cause labored breathing in hot and humid weather. kind but courageous, friendly but dignified, the bulldog is a thick-set, low-slung, well-muscled bruiser whose “sourmug” face is the universal symbol of courage and tenacity. these docile, loyal companions adapt well to town or country.",5,lively,35.78653352,22.08879224,8.597804834,Non-Sporting Group,0.6,2-3 times a week,0.8,regularly,0.6,regular exercise,0.6,agreeable,0.8,friendly
bulldog,"you can’t mistake a bulldog for any other breed. the loose skin of the head, furrowed brow, pushed-in nose, small ears, undershot jaw with hanging chops on either side, and the distinctive rolling gait all practically scream “i’m a bulldog!” the coat, seen in a variety of colors and patterns, is short, smooth, and glossy. bulldogs can weigh up to 50 pounds, but that won’t stop them from curling up in your lap, or at least trying to. but don’t mistake their easygoing ways for laziness—bulldogs enjoy brisk walks and need regular moderate exercise, along with a careful diet, to stay trim. summer afternoons are best spent in an air-conditioned room as a bulldog’s short snout can cause labored breathing in hot and humid weather. kind but courageous, friendly but dignified, the bulldog is a thick-set, low-slung, well-muscled bruiser whose “sourmug” face is the universal symbol of courage and tenacity. these docile, loyal companions adapt well to town or country.",1,courageous,39.34217217,19.60900078,8.153667805,Non-Sporting Group,0.6,2-3 times a week,0.8,regularly,0.6,regular exercise,0.6,agreeable,0.8,friendly
bulldog,"you can’t mistake a bulldog for any other breed. the loose skin of the head, furrowed brow, pushed-in nose, small ears, undershot jaw with hanging chops on either side, and the distinctive rolling gait all practically scream “i’m a bulldog!” the coat, seen in a variety of colors and patterns, is short, smooth, and glossy. bulldogs can weigh up to 50 pounds, but that won’t stop them from curling up in your lap, or at least trying to. but don’t mistake their easygoing ways for laziness—bulldogs enjoy brisk walks and need regular moderate exercise, along with a careful diet, to stay trim. summer afternoons are best spent in an air-conditioned room as a bulldog’s short snout can cause labored breathing in hot and humid weather. kind but courageous, friendly but dignified, the bulldog is a thick-set, low-slung, well-muscled bruiser whose “sourmug” face is the universal symbol of courage and tenacity. these docile, loyal companions adapt well to town or country.",5,lively,35.46641252,22.40419174,8.930723083,Non-Sporting Group,0.6,2-3 times a week,0.8,regularly,0.6,regular exercise,0.6,agreeable,0.8,friendly
bulldog,"you can’t mistake a bulldog for any other breed. the loose skin of the head, furrowed brow, pushed-in nose, small ears, undershot jaw with hanging chops on either side, and the distinctive rolling gait all practically scream “i’m a bulldog!” the coat, seen in a variety of colors and patterns, is short, smooth, and glossy. bulldogs can weigh up to 50 pounds, but that won’t stop them from curling up in your lap, or at least trying to. but don’t mistake their easygoing ways for laziness—bulldogs enjoy brisk walks and need regular moderate exercise, along with a careful diet, to stay trim. summer afternoons are best spent in an air-conditioned room as a bulldog’s short snout can cause labored breathing in hot and humid weather. kind but courageous, friendly but dignified, the bulldog is a thick-set, low-slung, well-muscled bruiser whose “sourmug” face is the universal symbol of courage and tenacity. these docile, loyal companions adapt well to town or country.",3,gentle,33.74730816,21.73298522,8.629713312,Non-Sporting Group,0.6,2-3 times a week,0.8,regularly,0.6,regular exercise,0.6,agreeable,0.8,friendly
bulldog,"you can’t mistake a bulldog for any other breed. the loose skin of the head, furrowed brow, pushed-in nose, small ears, undershot jaw with hanging chops on either side, and the distinctive rolling gait all practically scream “i’m a bulldog!” the coat, seen in a variety of colors and patterns, is short, smooth, and glossy. bulldogs can weigh up to 50 pounds, but that won’t stop them from curling up in your lap, or at least trying to. but don’t mistake their easygoing ways for laziness—bulldogs enjoy brisk walks and need regular moderate exercise, along with a careful diet, to stay trim. summer afternoons are best spent in an air-conditioned room as a bulldog’s short snout can cause labored breathing in hot and humid weather. kind but courageous, friendly but dignified, the bulldog is a thick-set, low-slung, well-muscled bruiser whose “sourmug” face is the universal symbol of courage and tenacity. these docile, loyal companions adapt well to town or country.",5,lively,39.62340204,18.32645665,9.238129808,Non-Sporting Group,0.6,2-3 times a week,0.8,regularly,0.6,regular exercise,0.6,agreeable,0.8,friendly
bulldog,"you can’t mistake a bulldog for any other breed. the loose skin of the head, furrowed brow, pushed-in nose, small ears, undershot jaw with hanging chops on either side, and the distinctive rolling gait all practically scream “i’m a bulldog!” the coat, seen in a variety of colors and patterns, is short, smooth, and glossy. bulldogs can weigh up to 50 pounds, but that won’t stop them from curling up in your lap, or at least trying to. but don’t mistake their easygoing ways for laziness—bulldogs enjoy brisk walks and need regular moderate exercise, along with a careful diet, to stay trim. summer afternoons are best spent in an air-conditioned room as a bulldog’s short snout can cause labored breathing in hot and humid weather. kind but courageous, friendly but dignified, the bulldog is a thick-set, low-slung, well-muscled bruiser whose “sourmug” face is the universal symbol of courage and tenacity. these docile, loyal companions adapt well to town or country.",1,courageous,38.35212464,18.03009694,9.000057853,Non-Sporting Group,0.6,2-3 times a week,0.8,regularly,0.6,regular exercise,0.6,agreeable,0.8,friendly
chihuahua,"the chihuahua is a balanced, graceful dog of terrier-like demeanor, weighing no more than 6 pounds. the rounded “apple” head is a breed hallmark. the erect ears and full, luminous eyes are acutely expressive. coats come in many colors and patterns, and can be long or short. the varieties are identical except for coat.chihuahuas possess loyalty, charm, and big-dog attitude. even tiny dogs require training, and without it this clever scamp will rule your household like a little napoleon. compact and confident, chihuahuas are ideal city pets. they are too small for roughhousing with kids, and special care must be taken in cold weather, but chihuahuas are adaptable—as long as they get lots of quality time in their preferred lap. the chihuahua is a tiny dog with a huge personality. a national symbol of mexico, these alert and amusing ""purse dogs"" stand among the oldest breeds of the americas, with a lineage going back to the ancient kingdoms of pre-columbian times.",2,charming,13.05066808,2.971623815,14.468539,Toy Group,0.2,occasional,0.4,occasional,0.6,regular exercise,0.4,independent,0.6,responsive
chihuahua,"the chihuahua is a balanced, graceful dog of terrier-like demeanor, weighing no more than 6 pounds. the rounded “apple” head is a breed hallmark. the erect ears and full, luminous eyes are acutely expressive. coats come in many colors and patterns, and can be long or short. the varieties are identical except for coat.chihuahuas possess loyalty, charm, and big-dog attitude. even tiny dogs require training, and without it this clever scamp will rule your household like a little napoleon. compact and confident, chihuahuas are ideal city pets. they are too small for roughhousing with kids, and special care must be taken in cold weather, but chihuahuas are adaptable—as long as they get lots of quality time in their preferred lap. the chihuahua is a tiny dog with a huge personality. a national symbol of mexico, these alert and amusing ""purse dogs"" stand among the oldest breeds of the americas, with a lineage going back to the ancient kingdoms of pre-columbian times.",2,charming,10.82252686,3.032863359,15.31731867,Toy Group,0.2,occasional,0.4,occasional,0.6,regular exercise,0.4,independent,0.6,responsive
chihuahua,"the chihuahua is a balanced, graceful dog of terrier-like demeanor, weighing no more than 6 pounds. the rounded “apple” head is a breed hallmark. the erect ears and full, luminous eyes are acutely expressive. coats come in many colors and patterns, and can be long or short. the varieties are identical except for coat.chihuahuas possess loyalty, charm, and big-dog attitude. even tiny dogs require training, and without it this clever scamp will rule your household like a little napoleon. compact and confident, chihuahuas are ideal city pets. they are too small for roughhousing with kids, and special care must be taken in cold weather, but chihuahuas are adaptable—as long as they get lots of quality time in their preferred lap. the chihuahua is a tiny dog with a huge personality. a national symbol of mexico, these alert and amusing ""purse dogs"" stand among the oldest breeds of the americas, with a lineage going back to the ancient kingdoms of pre-columbian times.",5,lively,12.31503149,2.778278027,14.74788512,Toy Group,0.2,occasional,0.4,occasional,0.6,regular exercise,0.4,independent,0.6,responsive
chihuahua,"the chihuahua is a balanced, graceful dog of terrier-like demeanor, weighing no more than 6 pounds. the rounded “apple” head is a breed hallmark. the erect ears and full, luminous eyes are acutely expressive. coats come in many colors and patterns, and can be long or short. the varieties are identical except for coat.chihuahuas possess loyalty, charm, and big-dog attitude. even tiny dogs require training, and without it this clever scamp will rule your household like a little napoleon. compact and confident, chihuahuas are ideal city pets. they are too small for roughhousing with kids, and special care must be taken in cold weather, but chihuahuas are adaptable—as long as they get lots of quality time in their preferred lap. the chihuahua is a tiny dog with a huge personality. a national symbol of mexico, these alert and amusing ""purse dogs"" stand among the oldest breeds of the americas, with a lineage going back to the ancient kingdoms of pre-columbian times.",5,lively,10.86825072,2.993777978,15.29898411,Toy Group,0.2,occasional,0.4,occasional,0.6,regular exercise,0.4,independent,0.6,responsive
chihuahua,"the chihuahua is a balanced, graceful dog of terrier-like demeanor, weighing no more than 6 pounds. the rounded “apple” head is a breed hallmark. the erect ears and full, luminous eyes are acutely expressive. coats come in many colors and patterns, and can be long or short. the varieties are identical except for coat.chihuahuas possess loyalty, charm, and big-dog attitude. even tiny dogs require training, and without it this clever scamp will rule your household like a little napoleon. compact and confident, chihuahuas are ideal city pets. they are too small for roughhousing with kids, and special care must be taken in cold weather, but chihuahuas are adaptable—as long as they get lots of quality time in their preferred lap. the chihuahua is a tiny dog with a huge personality. a national symbol of mexico, these alert and amusing ""purse dogs"" stand among the oldest breeds of the americas, with a lineage going back to the ancient kingdoms of pre-columbian times.",5,lively,16.54958785,2.712440409,14.77232674,Toy Group,0.2,occasional,0.4,occasional,0.8,energetic,0.4,independent,0.6,responsive
chihuahua,"the chihuahua is a balanced, graceful dog of terrier-like demeanor, weighing no more than 6 pounds. the rounded “apple” head is a breed hallmark. the erect ears and full, luminous eyes are acutely expressive. coats come in many colors and patterns, and can be long or short. the varieties are identical except for coat.chihuahuas possess loyalty, charm, and big-dog attitude. even tiny dogs require training, and without it this clever scamp will rule your household like a little napoleon. compact and confident, chihuahuas are ideal city pets. they are too small for roughhousing with kids, and special care must be taken in cold weather, but chihuahuas are adaptable—as long as they get lots of quality time in their preferred lap. the chihuahua is a tiny dog with a huge personality. a national symbol of mexico, these alert and amusing ""purse dogs"" stand among the oldest breeds of the americas, with a lineage going back to the ancient kingdoms of pre-columbian times.",5,lively,17.79976141,3.445294122,14.19677177,Toy Group,0.2,occasional,0.4,occasional,0.6,regular exercise,0.4,independent,0.6,responsive
chihuahua,"the chihuahua is a balanced, graceful dog of terrier-like demeanor, weighing no more than 6 pounds. the rounded “apple” head is a breed hallmark. the erect ears and full, luminous eyes are acutely expressive. coats come in many colors and patterns, and can be long or short. the varieties are identical except for coat.chihuahuas possess loyalty, charm, and big-dog attitude. even tiny dogs require training, and without it this clever scamp will rule your household like a little napoleon. compact and confident, chihuahuas are ideal city pets. they are too small for roughhousing with kids, and special care must be taken in cold weather, but chihuahuas are adaptable—as long as they get lots of quality time in their preferred lap. the chihuahua is a tiny dog with a huge personality. a national symbol of mexico, these alert and amusing ""purse dogs"" stand among the oldest breeds of the americas, with a lineage going back to the ancient kingdoms of pre-columbian times.",2,charming,12.7,2.784455304,14.44400686,Toy Group,0.2,occasional,0.6,seasonal,0.6,regular exercise,0.4,independent,0.6,responsive
cocker spaniel,"those big, dark eyes; that sweet expression; those long, lush ears that practically demand to be touched—no wonder the cocker spent years as america’s most popular breed. the cocker is the akc’s smallest sporting spaniel, standing about 14 to 15 inches. the coat comes in enough colors and patterns to please any taste. the well-balanced body is sturdy and solid, and these quick, durable gundogs move with a smooth, easy gait.cockers are eager playmates for kids and are easily trained as companions and athletes. they are big enough to be sporty, but compact enough to be portable. a cocker in full coat rewards extra grooming time by being the prettiest dog on the block. these energetic sporting dogs love playtime and brisk walks. the merry and frolicsome cocker spaniel, with his big, dreamy eyes and impish personality, is one of the world’s best-loved breeds. they were developed as hunting dogs, but cockers gained their wide popularity as all-around companions.",3,gentle,37.42893687,9.41886429,13.62771865,Sporting Group,0.8,daily,0.4,occasional,0.6,regular exercise,1,eager to please,1,outgoing
